name,website,size,industry,city,address,phone,product_jobs,design_jobs,ux_jobs,source,notes
"TANGO software, s.r.o.",https://tangosw.cz,,Technologie,Prague,"Gagarinova 517/25, Drahovice, 36001 Karlovy Vary",,0,0,0,"ares,startupjobs",
First Line Software s.r.o.,http://www.firstlinesoftware.cz,,,Prague,"Na hřebenech II 1718/8, Nusle, 14000 Praha 4",,0,0,0,"ares,startupjobs",
"Software 21, s.r.o.",http://www.software21.cz,,,Prague,"Geologická 575/2, Hlubočepy, 15200 Praha 5",,0,0,0,"ares,startupjobs",
"Vitrix Software, s.r.o.",https://www.vitrix.cz/,,,Prague,"Příběnická 971/18, Žižkov, 13000 Praha 3",,0,0,0,"ares,startupjobs",
M-line software s.r.o.,http://www.m-line.cz,,,Prague,"Pekárenská 761/77c, České Budějovice 4, 37004 České Budějovice",,0,0,0,"ares,startupjobs",
GIANTS Software CZ s.r.o.,http://www.giants-software.com,,,Prague,"Šumavská 525/33, Veveří, 60200 Brno",,0,0,0,"ares,startupjobs",
"Proconom Software, s.r.o.",https://www.proconom.cz/,,,Prague,"nám. Soukenné 669/2a, Liberec IV-Perštýn, 46001 Liberec",,0,0,0,"ares,startupjobs",
3Node Software s.r.o.,http://www.3node.cz,,,Prague,"Frýdecká 494, Staré Město, 73961 Třinec",,0,0,0,"ares,startupjobs",
Sorelio Software s.r.o.,http://www.sorelio.cz,,,Prague,"Pražská tř. 1247/24, České Budějovice 3, 37004 České Budějovice",,0,0,0,"ares,startupjobs",
GT software s.r.o.,,,,Prague,"Rybná 716/24, Staré Město, 11000 Praha 1",,0,0,0,"ares,startupjobs",
Skeleton Software s.r.o.,http://www.skeleton.cz,,,Prague,"Táboritská 880/14, Žižkov, 13000 Praha 3",,0,0,0,"ares,startupjobs",
"Asamm Software, s.r.o.",http://www.asamm.com,,Technologie,Prague,"K odpočinku 3129/8, Horní Počernice, 19300 Praha 9",,0,0,0,"ares,startupjobs",
collectora software s.r.o.,http://www.collectora.cz,,,Prague,"Pernerova 676/51, Karlín, 18600 Praha 8",,0,0,0,"ares,startupjobs",
"STOVKA SOFTWARE, s.r.o.",https://www.stovka.cz,,Technologie,Prague,"Pod Bukem 359, 25207 Štěchovice",,0,0,0,"ares,startupjobs",
ABRA Software a.s.,https://www.abra.eu,,Technologie,Prague,"Jeremiášova 1422/7b, Stodůlky, 15500 Praha 5",,0,0,0,"ares,startupjobs",
KARAT Software a.s.,https://www.kariera-karat.cz/,,,Prague,"Dvořákova 2881/77, Přerov I-Město, 75002 Přerov",,0,0,0,"ares,startupjobs",
"PRINS SOFTWARE, s.r.o.",http://www.prins.cz/,,Technologie,Prague,"Rohanské nábřeží 671/15, Karlín, 18600 Praha 8",,0,0,0,"ares,startupjobs",
Medicalc software s.r.o.,https://www.medicalc.cz/,,,Prague,"Pod Švabinami 434/13, Lobzy, 31200 Plzeň",,0,0,0,"ares,startupjobs",
INSIO software s.r.o.,http://www.insio.cz,,,Prague,"Vinohradská 3217/167, Strašnice, 10000 Praha 10",,0,0,0,"ares,startupjobs",
"Imatic Software, s.r.o.",https://www.imatic.cz,,Technologie,Prague,"Jagellonská 1305/14, Vinohrady, 13000 Praha 3",,0,0,0,"ares,google_maps,startupjobs",
GINA Software s.r.o.,http://www.ginasystem.com,,Technologie,Prague,"Purkyňova 649/127, Medlánky, 61200 Brno",,1,0,0,"ares,startupjobs",
All Day Digital s.r.o.,http://www.alldd.cz,,,Prague,"Pod Strání 751, Prštné, 76001 Zlín",,0,0,0,"ares,startupjobs",
Digital Native Agency s.r.o.,https://digitalnativeagency.eu,,Služby,Prague,"Liliová 248/8, Staré Město, 11000 Praha 1",,0,0,0,"ares,startupjobs",
"Query Digital, s.r.o.",https://www.query.cz,,Technologie,Prague,"Malá Štupartská 634/7, Staré Město, 11000 Praha 1",,0,0,0,"ares,startupjobs",
CITY DIGITAL MEDIA s.r.o.,http://www.citydigital.cz,,Media,Prague,"Křižíkova 56/75, Karlín, 18600 Praha 8",,0,0,0,"ares,startupjobs",
